"ISO-date","Name","PMB-id","Latitude","Longitude","Type","Wikidata"
1895-07-13,"1. Wiener Restaurant (Inh. Anton Haslinger)",pmb199189,"49,450068","11,082858","Restaurant Restaurant"
1910-06-22,"1. internationale Jagdausstellung 1910",pmb250345,"48,21275","16,41036","Ausstellungsgelände Exhibition grounds"
1910-06-26,"1. internationale Jagdausstellung 1910",pmb250345,"48,21275","16,41036","Ausstellungsgelände Exhibition grounds"
1910-08-05,"1. internationale Jagdausstellung 1910",pmb250345,"48,21275","16,41036","Ausstellungsgelände Exhibition grounds"
1888-05-29,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-05-30,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-05-31,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-01,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-02,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-03,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-04,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-05,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-06,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-07,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-08,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-09,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-10,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-11,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-12,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-13,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-14,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-15,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1888-06-16,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
